City,Locality,Restaurants,Avg_Rating,Avg_PriceRange
Abu Dhabi,Najda,3,4.1000000000000005,2.6666666666666665
Abu Dhabi,"Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)",2,4.6,4.0
Abu Dhabi,Al Dhafrah,2,4.35,2.5
Abu Dhabi,"Al Wahda Mall, Al Wahda",2,4.35,4.0
Abu Dhabi,"World Trade Center Mall, Al Markaziya",2,4.45,4.0
Abu Dhabi,Al Mushrif,1,4.2,3.0
Abu Dhabi,"Crowne Plaza Abu Dhabi, Al Markaziya",1,4.4,4.0
Abu Dhabi,"Dalma Mall, Mussafah Sanaiya",1,4.0,3.0
Abu Dhabi,Madinat Zayed,1,3.6,2.0
Abu Dhabi,"Madinat Zayed Shopping Centre, Madinat Zayed ",1,4.5,3.0
Abu Dhabi,"Mushrif Mall, Al Mushrif",1,4.0,4.0
Abu Dhabi,Mussafah Sanaiya,1,4.0,2.0
Abu Dhabi,"Venetian Village, Al Maqtaa",1,4.9,4.0
Abu Dhabi,"Yas Mall, Yas Island",1,4.6,4.0
Agra,Tajganj,8,4.05,2.375
Agra,Agra Cantt,3,3.6666666666666665,2.3333333333333335
Agra,Civil Lines,2,4.1,2.5
Agra,"ITC Mughal, Tajganj",2,4.15,4.0
Agra,"Radisson Blu, Tajganj",2,3.8499999999999996,2.5
Agra,"Courtyard by Marriott Agra, Tajganj",1,4.0,4.0
Agra,Khandari,1,3.6,3.0
Agra,Rakabganj,1,4.1,2.0
Ahmedabad,Bodakdev,5,4.34,2.4
Ahmedabad,Ellis Bridge,2,4.5,2.0
Ahmedabad,Gurukul,2,4.05,2.0
Ahmedabad,Navrangpura,2,4.2,2.0
Ahmedabad,Vastrapur,2,3.95,2.5
Ahmedabad,Ambavadi,1,4.2,3.0
Ahmedabad,Ashram Road,1,3.7,4.0
Ahmedabad,C G Road,1,3.8,3.0
Ahmedabad,"Courtyard By Marriott, Satellite",1,3.6,3.0
Ahmedabad,Ghatlodia,1,4.3,3.0
Ahmedabad,Prahlad Nagar,1,4.5,3.0
Ahmedabad,Thaltej,1,4.1,3.0
Ahmedabad,"The Fern, Sola",1,4.1,3.0
Albany,Albany,19,3.5631578947368423,1.736842105263158
Albany,Sylvester,1,3.4,1.0
Allahabad,Civil Lines,18,3.3944444444444444,2.6666666666666665
Allahabad,Tagore Town,1,3.5,2.0
Allahabad,"Vinayak City Centre Mall, Civil Lines",1,3.3,3.0
Amritsar,Town Hall,7,3.7714285714285714,1.8571428571428572
Amritsar,Ranjit Avenue,5,3.56,2.0
Amritsar,INA Colony,3,3.5,1.6666666666666667
Amritsar,White Avenue,3,3.7999999999999994,2.0
Amritsar,Basant Nagar,2,3.65,1.5
Amritsar,Hathi Gate,1,4.0,1.0
Ankara,Gazi Osman Paï¿½ï¿½a,3,4.466666666666667,3.6666666666666665
Ankara,Balgat,2,4.4,3.0
Ankara,KÛ±zÛ±lay,2,4.0,3.0
Ankara,Kï¿½_ï¿½_ï¿½_k Esat,2,4.5,2.0
Ankara,"Armada AVM, Sï¿½_ï¿½ï¿½ï¿½_tï¿½_zï¿½_, Yenimahalle",1,4.2,3.0
Ankara,Dikmen,1,4.5,3.0
Ankara,Emek,1,4.4,3.0
Ankara,KavaklÛ±dere,1,4.3,3.0
Ankara,"Kentpark AVM, ï¿½ï¿½niversiteler, ï¿½ankaya",1,4.2,3.0
Ankara,Macunkï¿½_y,1,4.3,2.0
Ankara,Maltepe,1,4.4,3.0
Ankara,YÛ±ldÛ±zevler,1,4.7,2.0
Ankara,ï¿½ayyolu,1,4.3,2.0
Ankara,ï¿½ukurambar,1,3.4,2.0
Ankara,ï¿½ï¿½mitkï¿½_y,1,4.2,3.0
Armidale,Armidale,1,3.5,2.0
Athens,Athens,20,4.2,1.6
Auckland,Britomart,3,4.566666666666666,2.3333333333333335
Auckland,Mt Eden,3,4.166666666666667,3.0
Auckland,Federal Street,2,4.699999999999999,3.5
Auckland,Balmoral,1,4.3,2.0
Auckland,Fort Street,1,4.9,1.0
Auckland,Henderson,1,4.5,3.0
Auckland,Lorne Street,1,4.2,4.0
Auckland,Mission Bay,1,2.3,4.0
Auckland,Mt Albert,1,4.4,3.0
Auckland,Newmarket,1,3.5,4.0
Auckland,Parnell,1,4.0,3.0
Auckland,Penrose,1,4.5,3.0
Auckland,"Sky City Metro, Auckland CBD",1,4.0,3.0
Auckland,"The Langham Hotel, Auckland CBD",1,4.7,4.0
Auckland,Wynyard Quarter,1,4.6,4.0
Augusta,Augusta,15,4.14,2.2666666666666666
Augusta,Evans,4,4.075,2.0
Augusta,Grovetown,1,4.2,1.0
Aurangabad,CIDCO,7,3.3285714285714287,2.2857142857142856
Aurangabad,Nirala Bazar,4,3.425,2.0
Aurangabad,Usmanpura,2,3.3,2.0
Aurangabad,Akashwani,1,3.6,3.0
Aurangabad,Chicalthana,1,3.3,3.0
Aurangabad,"Hotel Green Olive, Nirala Bazar",1,3.6,3.0
Aurangabad,Mondha,1,3.5,1.0
Aurangabad,Nyay Nagar,1,3.2,2.0
Aurangabad,"Prozone Mall, Chicalthana",1,3.4,2.0
Aurangabad,Shahgunj,1,3.3,2.0
Balingup,Balingup,1,3.2,2.0
Bandung,Dago,1,4.2,3.0
Bangalore,Indiranagar,6,4.316666666666666,3.0
Bangalore,Koramangala 5th Block,3,4.5,2.3333333333333335
Bangalore,Marathahalli,2,4.5,3.0
Bangalore,Sarjapur Road,2,4.2,3.0
Bangalore,"BluPetal Hotel, Koramangala",1,4.1,3.0
Bangalore,JP Nagar,1,4.6,2.0
Bangalore,Koramangala 6th Block,1,4.3,1.0
Bangalore,Koramangala 7th Block,1,4.5,3.0
Bangalore,New BEL Road,1,4.6,2.0
Bangalore,Residency Road,1,4.2,3.0
Bangalore,UB City,1,4.4,3.0
Beechworth,Beechworth,1,4.6,2.0
Bhopal,Arera Colony,5,3.94,1.6
Bhopal,Maharana Pratap Nagar,5,3.84,2.0
Bhopal,"DB City, Maharana Pratap Nagar",3,4.033333333333333,2.6666666666666665
Bhopal,TT Nagar,3,4.0,2.3333333333333335
Bhopal,Gulmohar Colony,1,3.8,2.0
Bhopal,Kohefiza,1,3.8,2.0
Bhopal,Peer Gate Area,1,4.1,2.0
Bhopal,Sayaji Hotel,1,4.3,4.0
Bhubaneshwar,Patia,9,3.888888888888889,1.4444444444444444
Bhubaneshwar,Chandrasekharpur,4,4.25,2.25
Bhubaneshwar,"BMC Bhawani Mall, Sahid Nagar",2,4.0,2.0
Bhubaneshwar,Sahid Nagar,2,4.0,2.0
Bhubaneshwar,Gajapati Nagar,1,3.7,2.0
Bhubaneshwar,"Mayfair Lagoon, Jayadev Vihar",1,4.1,3.0
Bhubaneshwar,"The Crown, Nayapalli",1,4.3,3.0
Bhubaneshwar,Unit 4,1,3.5,1.0
Birmingham,"Bullring Shopping Centre, Southside",3,3.8333333333333335,2.3333333333333335
Birmingham,City Centre,2,4.4,3.0
Birmingham,Moseley,2,4.0,2.5
Birmingham,Alum Rock,1,2.8,1.0
Birmingham,Brindleyplace,1,3.7,1.0
Birmingham,"Brindleyplace, Broad Street",1,4.0,3.0
Birmingham,Colmore Business District,1,4.5,4.0
Birmingham,Digbeth,1,3.8,2.0
Birmingham,Edgbaston,1,4.0,3.0
Birmingham,Handsworth,1,3.6,2.0
Birmingham,Harborne,1,4.2,2.0
Birmingham,Jewellery Quarter,1,4.1,4.0
Birmingham,Small Heath,1,3.1,1.0
Birmingham,Smethwick,1,3.8,2.0
Birmingham,Sparkhill,1,3.7,3.0
Birmingham,"The Mailbox, Broad Street",1,4.0,2.0
Bogor,Bogor Timur,1,3.7,2.0
Bogor,Bogor Utara,1,4.0,3.0
Boise,Boise,18,4.266666666666667,2.0
Boise,Meridian,1,4.0,2.0
Boise,Nampa,1,4.4,3.0
Brasï¿½_lia,Asa Sul,6,3.56,2.8333333333333335
Brasï¿½_lia,Asa Norte,4,3.575,2.0
Brasï¿½_lia,ï¿½guas Claras,3,3.6666666666666665,3.6666666666666665
Brasï¿½_lia,"Brasï¿½_lia Shopping, Asa Norte",1,4.2,4.0
Brasï¿½_lia,Lago Sul,1,3.6,4.0
Brasï¿½_lia,"ParkShopping, Guarï¿½ï¿½ I",1,4.0,4.0
Brasï¿½_lia,"Pontï¿½ï¿½o Lago Sul, Lago Sul",1,3.2,4.0
Brasï¿½_lia,Setor De Clubes Esportivos Sul,1,4.9,4.0
Brasï¿½_lia,"Shopping Iguatemi, Lago Norte",1,3.3,4.0
Brasï¿½_lia,Sudoeste,1,3.6,2.0
Cape Town,CBD,3,4.1000000000000005,2.6666666666666665
Cape Town,Green Point,3,3.733333333333333,3.3333333333333335
